tag,date,total_works,total_kudos,total_hits,total_words
Top Viktor (League of Legends),2022-01-09,10,11462,152914,36216
Top Vi (League of Legends),2022-01-09,12,8716,175841,40827
Top Vander (League of Legends),2022-01-09,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-09,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-09,6,2003,44697,19160
Top Mel Medarda,2022-01-09,1,211,6101,810
Top Jinx (League of Legends),2022-01-09,1,429,16037,3924
Top Jayce (League of Legends),2022-01-09,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-09,0,0,0,0
Top Caitlyn (League of Legends),2022-01-09,20,59099,871618,92605
Top Viktor (League of Legends),2022-01-08,10,11462,152914,36216
Top Vi (League of Legends),2022-01-08,12,8716,175841,40827
Top Vander (League of Legends),2022-01-08,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-08,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-08,5,1977,44002,14511
Top Mel Medarda,2022-01-08,1,211,6101,810
Top Jinx (League of Legends),2022-01-08,1,429,16037,3924
Top Jayce (League of Legends),2022-01-08,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-08,0,0,0,0
Top Caitlyn (League of Legends),2022-01-08,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-07,9,11197,149203,34438
Top Vi (League of Legends),2022-01-07,12,8716,175841,40827
Top Vander (League of Legends),2022-01-07,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-07,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-07,5,1977,44002,14511
Top Mel Medarda,2022-01-07,1,211,6101,810
Top Jinx (League of Legends),2022-01-07,1,429,16037,3924
Top Jayce (League of Legends),2022-01-07,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-07,0,0,0,0
Top Caitlyn (League of Legends),2022-01-07,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-06,8,10909,144146,32650
Top Vi (League of Legends),2022-01-06,12,8716,175841,40827
Top Vander (League of Legends),2022-01-06,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-06,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2022-01-06,5,1977,44002,14511
Top Mel Medarda,2022-01-06,1,211,6101,810
Top Jinx (League of Legends),2022-01-06,1,429,16037,3924
Top Jayce (League of Legends),2022-01-06,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-06,0,0,0,0
Top Caitlyn (League of Legends),2022-01-06,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-05,8,10909,144146,32650
Top Vi (League of Legends),2022-01-05,12,8716,175841,40827
Top Vander (League of Legends),2022-01-05,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-05,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2022-01-05,5,1977,44002,14511
Top Mel Medarda,2022-01-05,1,211,6101,810
Top Jinx (League of Legends),2022-01-05,1,429,16037,3924
Top Jayce (League of Legends),2022-01-05,10,21224,229586,46444
Top Ekko (League of Legends),2022-01-05,0,0,0,0
Top Caitlyn (League of Legends),2022-01-05,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-04,8,10909,144146,32650
Top Vi (League of Legends),2022-01-04,11,8363,166645,35133
Top Vander (League of Legends),2022-01-04,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-04,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2022-01-04,4,1665,35266,12372
